ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Abet,ದುಷ್ಪ್ರೇರಿಸು; ಕೆಟ್ಟಕೆಲಸಕ್ಕೆ ನೆರವಾಗು,,,,,,,,,
,Abolition of bonded labour act,ಜೀತ ಪದ್ಧತಿ ರದ್ದತಿ ಅಧಿನಿಯಮ,,,,,,,,,
,Abrasion,ಉಜ್ಜುಗಾಯ; ತರಿದ ಗಾಯ,,,,,,,,,
,Abstract,ಸಂಕ್ಷಿಪ್ತ ; ಸಾರಾಂಶ; ಗೋಷ್ಟಾರೆ,,,,,,,,,
,Abuse,1. ದುರುಪಯೋಗ ಮಾಡು 2. ನಿಂದಿಸು; ದೂಷಿಸು; ಬೈಯು 3. ದುರುಪಯೋಗ 4. ನಿಂದೆ; ಬೈಗುಳು,,,,,,,,,
,Acceptance,ಸ್ವೀಕಾರ; ಅಂಗೀಕಾರ; ಒಪ್ಪಿಗೆ; ಸಮ್ಮತಿ,,,,,,,,,
,Acceptance card,ಅಂಗೀಕಾರ ಪತ್ರ,,,,,,,,,
,Acceptance of employment,ಉದ್ಯೋಗದ ಅಂಗೀಕಾರ,,,,,,,,,
,Accident,1. ಅಪಘಾತ; ದುರ್ಘಟನೆ 2. ಆಕಸ್ಮಿಕ,,,,,,,,,
,Accommodation,1. ಸ್ಥಳಾವಕಾಶ; ವಸತಿ 2. ಅನುಕೂಲ,,,,,,,,,
,Accompany,ಜೊತೆಯಲ್ಲಿರು; ಜೊತೆಯಲ್ಲಿ ಹೋಗು,,,,,,,,,
,Accordingly,ತದನುಸಾರವಾಗಿ; ಅದರಂತೆ,,,,,,,,,
,Account book,ಲೆಕ್ಕದ ಪುಸ್ತಕ,,,,,,,,,
,Accounting year,ಲೆಕ್ಕದ ವರ್ಷ,,,,,,,,,
,Accounts and audit,ಲೆಕ್ಕಪತ್ರಗಳು ಮತ್ತು ಲೆಕ್ಕ ಪರಿಶೋಧನೆ,,,,,,,,,
,Accumulation,ಶೇಖರಣೆ; ಸಂಚಯ,,,,,,,,,
,Acquisition and transfer of property,ಸ್ವತ್ತುಸ್ಟಾಧೀನ ಮತ್ತು ವರ್ಗಾವಣೆ,,,,,,,,,
,Acquisition of property,ಆಸ್ತಿಸ್ವಾಧೀನ; ಸ್ವತ್ತನ್ನು ಸ್ವಾಧೀನ ಪಡಿಸಿಕೊಳ್ಳುವುದು,,,,,,,,,
,Acquittance roll,ವೇತನ ಪಾವತಿ ಪಟ್ಟಿ,,,,,,,,,
,Act,ಅಧಿನಿಯಮ,,,,,,,,,
,Additional tribunal,ಹೆಚ್ಚುವರಿ ನ್ಯಾಯಾಧಿಕರಣ,,,,,,,,,
,Adequate supply,ಸಾಕಷ್ಟು ಪೂರೈಕೆ,,,,,,,,,
,Adjournment,1. ಮುಂದೂಡಿಕೆ 2. ನಿಲುವಳಿ,,,,,,,,,
,Adjournment,ನಿಲುವಳಿ ಸೂಚನೆ; ಮುಂದಕ್ಕೆ ಹಾಕಲು ಕೋರಿಕೆ,,,,,,,,,
,Adjudication,ನ್ಯಾಯನಿರ್ಣಯ,,,,,,,,,
,Adjudication of dispute,ವಿವಾದಗಳ ನ್ಯಾಯನಿರ್ಣಯ,,,,,,,,,
,Adjustment,ಹೊಂದಾಣಿಕೆ; ಜೋಡಣೆ,,,,,,,,,
,Administration,1. ಆಡಳಿತ; ಕಾರ್ಯಭಾರ 2. ನಿರ್ವಹಣೆ; ವ್ಯವಸ್ಥೆ,,,,,,,,,
,Administration of oath,ಪ್ರಮಾಣವಚನ ಬೋಧನೆ,,,,,,,,,
,Administration of provident fund,ಭವಿಷ್ಯನಿಧಿ ನಿರ್ವಹಣೆ,,,,,,,,,
,Administration of scheme,ಯೋಜನಾ ನಿರ್ವಹಣೆ,,,,,,,,,
,Admission,1. ಪ್ರವೇಶ; ಸೇರಿಸುವುದು 2. ಅಂಗೀಕಾರ; ಒಪ್ಪಿಗೆ,,,,,,,,,
,Adolescent,1. ತಾರುಣ್ಯದ; ಹರೆಯದ 2. ತರುಣ; ತರುಣಿ,,,,,,,,,
,Adult,ವಯಸ್ಕ; ಪ್ರೌಢ,,,,,,,,,
,Adult consumption unit,ವಯಸ್ಕರ ಬಳಕೆಯ ಘಟಕ,,,,,,,,,
,Advance,ಮುಂಗಡ,,,,,,,,,
,Advisory board,ಸಲಹಾ ಮಂಡಳಿ,,,,,,,,,
,Advisory committee,ಸಲಹಾ ಸಮಿತಿ,,,,,,,,,
,Advisory council,ಸಲಹಾ ಪರಿಷತ್ತು,,,,,,,,,
,Aerial ropeway,ತೂಗುಹಾದಿ; ಬಾನ ಹಗ್ಗದ ಹಾದಿ; ಆಕಾಶ ರಜ್ಜುಪಥ,,,,,,,,,
,Aeronautical engineering,ವೈಮಾನಿಕ ಯಂತ್ರವಿಜ್ಞಾನ,,,,,,,,,
,Affidavit,ಅಫಿಡವಿಟ್‌; ಅಫಿದಾವಿತ್ತು; ಶಪಥಪತ್ರ,,,,,,,,,
,Affiliated,ಸಂಲಗ್ನ; ಸೇರಿಸಿಕೊಂಡ,,,,,,,,,
,Affiliation,ಸಂಯೋಜನೆ; ಸಂಲಗ್ನತೆ; ಸೇರಿಸಿಕೊಳ್ಳುವಿಕೆ,,,,,,,,,
,Affix,ಅಂಟಿಸು; ಜೋಡಿಸು; ಸೇರಿಸು;ಹಚ್ಚು,,,,,,,,,
,Afford,1. ಒದಗಿಸು 2. ಸಮರ್ಥವಾಗು,,,,,,,,,
,Age of superannuation,ಸೇವಾನಿವೃತ್ತಿ ವಯಸ್ಸು,,,,,,,,,
,Agent,ಏಜೆಂಟ್‌; ಪ್ರತಿನಿಧಿ; ಕಾರಭಾರಿ,,,,,,,,,
,Aggregate,ಒಟ್ಟು ಮೊತ್ತ,,,,,,,,,
,Aggrieved,ಪೀಡಿತ; ತೊಂದರೆಗೀಡಾದ,,,,,,,,,
,Aggrieved by the decision,ನಿರ್ಣಯದಿಂದ ಪೀಡಿತನಾದ,,,,,,,,,
,Allocable surplus,ಹಂಚಬಹುದಾದ ಹೆಚ್ಚುವರಿ,,,,,,,,,
,Allocation,ಹಂಚುವಿಕೆ,,,,,,,,,
,Allot,1. ಹಂಚಿಕೊಡು 2. ತೆಗೆದಿಡು,,,,,,,,,
,Allotment,1. ಹಂಚಿಕೊಡುವುದು 2. ತೆಗೆದಿಡುವುದು,,,,,,,,,
,Allowance,1. ಭತ್ಯ 2. ಅನುಮತಿ; ಅವಕಾಶ 3. ರಿಯಾಯಿತಿ,,,,,,,,,
,Alteration,ಬದಲಾವಣೆ; ಮಾರ್ಪಾಟು,,,,,,,,,
,Alternate,ಪರ್ಯಾಯ; ಬದಲಿ; ಒಂದು ಬಿಟ್ಟು ಮತ್ತೊಂದು,,,,,,,,,
,Alternate employment,ಬದಲಿ ಉದ್ಯೋಗ,,,,,,,,,
,Amalgamation,ವಿಲೀನತೆ; ಸಮ್ಮಿಲನ,,,,,,,,,
,Amend,ತಿದ್ದು ಪಡಿಮಾಡು,,,,,,,,,
,Amending act,ತಿದ್ದುಪಡಿಮಾಡುವ ಅಧಿನಿಯಮ,,,,,,,,,
,Amendment,ತಿದ್ದುಪಡಿ,,,,,,,,,
,Amendment of the certificate,ಪ್ರಮಾಣಪತ್ರದ ತಿದ್ದುಪಡಿ,,,,,,,,,
,Amendment of the licence,ಲೈಸೆನ್ಸಿನ ತಿದ್ದುಪಡಿ,,,,,,,,,
,Amendment of the rules,ನಿಯಮಗಳ ತಿದ್ದುಪಡಿ,,,,,,,,,
,Amenities,ಸೌಕರ್ಯಗಳು; ಸವಲತ್ತುಗಳು,,,,,,,,,
,Amount awarded,ನಿರ್ಣಯಿಸಿ-ಕೊಡಲಾದ ಮೊಬಲಗು,,,,,,,,,
,Amount of security :,ಭದ್ರತಾಮೊಬಲಗು,,,,,,,,,
,Amputation,ಅಂಗಚ್ಛೇದನ,,,,,,,,,
,Amusement,ವಿನೋದ; ಕ್ರೀಡೆ; ಮನರಂಜನೆ,,,,,,,,,
,Annual audit,ವಾರ್ಷಿಕ ಲೆಕ್ಕ ಪರಿಶೋಧನೆ,,,,,,,,,
,Annual leave,ವಾರ್ಷಿಕರಜೆ,,,,,,,,,
,Annual report,ವಾರ್ಷಿಕವರದಿ,,,,,,,,,
,Annual return,ವಾರ್ಷಿಕವರದಿ ಸಲ್ಲಿಕೆ,,,,,,,,,
,Annual statement of accounts,ವಾರ್ಷಿಕ ಲೆಕ್ಕಪತ್ರಗಳ ವಿವರ,,,,,,,,,
,Annul,ರದ್ದುಗೊಳಿಸು; ಇಲ್ಲದಂತೆ ಮಾಡು,,,,,,,,,
,Appeal,1 ಅಪೀಲು / ಮೇಲ್ಮನವಿ / ಮೇಲರ್ಜಿ ಮಾಡು 2. ಅಪೀಲು; ಮೇಲ್ಮನವಿ; ಮೇಲರ್ಜಿ,,,,,,,,,
,Appeals and procedure,ಅಪೀಲುಗಳು ಮತ್ತು ನಡೆವಳಿಗಳು,,,,,,,,,
