ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,@,ಅಟ್ ಎಂಬ ಉಚ್ಚಾರಣೆಯ ಸಂಕೇತ,,,,,,,,,
,3D Graphics,ಮೂರು ಆಯಾಮ ದೃಶ್ಯಸಂಯೋಜನೆ,,,,,,,,,
,3D Printing,"ಮೂರು ಆಯಾಮ ಮುದ್ರಣ, ವಸ್ತುಗಳ ಮುದ್ರಣವನ್ನು ಮೂರು ಆಯಾಮದಲ್ಲಿ ರೂಪಿಸುವ ಸೌಲಭ್ಯ",,,,,,,,,
,Ab initio,"ಆರಂಭದಿಂದ, ಪ್ರಾರಂಭದಿಂದ",,,,,,,,,
,Abacus,"ಮಣಿಕಟ್ಟು , ಮಣಿಚೌಕಟ್ಟು",,,,,,,,,
,Abandon,ವರ್ಜಿಸು,,,,,,,,,
,Abaxial,"ಅಪಾಕ್ಷ, ಅಕ್ಷಕ್ಕೆ ವಿಮುಖವಾದ",,,,,,,,,
,Abbreviate,"ಸಂಕ್ಷೀಸು, ಮೊಟಕಾದ",,,,,,,,,
,Abdomen,"ಉದರ, ಹೊಟ್ಟೆ",,,,,,,,,
,Abdominal,ಉದರದ,,,,,,,,,
,Abelian group,"ಪರಿವರ್ತನೀಯ ಸಂಕುಲ, ಅಬೇಲಿಯನ್ ಸಂಕುಲ / ಸಮೂಹ",,,,,,,,,
,Aberration,"ವಿಪಥನ, ಭ್ರಂಶ",,,,,,,,,
