ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,3 point linkage,3 ಬಿಂದುಗಳ ಕೊಂಡಿಯ ವ್ಯೂಹ (ಟ್ಯ್ರಾಕ್ಟರ್ ಉಪಕರಣಗಳಲ್ಲಿ ಜೋಡಣೆ),,,,,,,,,
,A.C.(Alternating Current),ಆವರ್ತನ ವಿದ್ಯುತ್,,,,,,,,,
,Abaptisition,ಹೊಗದ ಬೈರಿಗೆ,,,,,,,,,
,Above ground reservoir,ನೆಲಮಟ್ಟದ ಮೇಲಿನ ಜಲಾಶಯ,,,,,,,,,
,Abrade,ಉಜ್ಜಿಹಾಕು,,,,,,,,,
,Abrasion,ಉಜ್ಜಿಹಾಕುವುದು,,,,,,,,,
,Abrasive,ಅಪಘರ್ಷಕ,,,,,,,,,
,Abrasive soil,ಉಜ್ಜಿಹಾಕುವ ಗುಣವುಳ್ಳ ಮಣ್ಣು,,,,,,,,,
,Absolute module,ಸಮಗ್ರ ಮಾನಕ,,,,,,,,,
,Absorbability,ಹೀರಿಕೊಳ್ಳಲಾಗುವ ಗುಣ,,,,,,,,,
,Absorption,ಹೀರಿಕೆ,,,,,,,,,
,Absorptive soils,ಹೀರಿಕೊಳ್ಳುವ ಮಣ್ಣುಗಳು,,,,,,,,,
,Absoulute block system,ಸಮಗ್ರ ತಡಗಟ್ಟೆ ಪದ್ಧತಿ,,,,,,,,,
,Abutment,ಊರೆ,,,,,,,,,
,Abutment pier,ಹಾಗೇ ಸೇರಿರುವ ಮರದ ಕಟ್ಟಡ,,,,,,,,,
,Accelerating,ವೇಗೋತ್ಕರ್ಷ,,,,,,,,,
,Accelerating force,ವೇಗವರ್ಧಕ ಬಲ,,,,,,,,,
,Accessory,ಸಾಧನ ಸಾಮಗ್ರಿ,,,,,,,,,
,Accumulator,ಸುಂಗ್ರಹಕೋಶ,,,,,,,,,
,Accuracy,"ಯಥಾರ್ಥತೆ, ನಿಖರತೆ",,,,,,,,,
,Acidity,ಆಮ್ಲತೆ,,,,,,,,,
,Acknowledgement of signal (message),ಸಂಕೇತದ ಸ್ವೀಕೃತಿ,,,,,,,,,
,Action current,ಹರಿವ ವಿದ್ಯುತ್,,,,,,,,,
,Acuminate,ಚೂಪಾದ,,,,,,,,,
,Adaptability,ಹೊಂದಾಣಿಕೆ,,,,,,,,,
,Adequate irrigation,ಯಥೋಚಿತ ನೀರಾವರಿ,,,,,,,,,
,Adhesion,"ಪರಿಕೀಯಾಕರ್ಷಣಶಕ್ತಿ, ಸಂಸಕ್ತಿ",,,,,,,,,
,Adjacent wheels,ಅಕ್ಕ ಪಕ್ಕದ ಚಕ್ರಗಳು,,,,,,,,,
,Adjustable proportinate module,ಹೊಂದಿಸಬಲ್ಲ ಪ್ರಮಾಣಾನುಗುಣ ಮಾನಕ,,,,,,,,,
,Adjustable semi module(Rateable semi module),ಹೊಂದಿಸಬಲ್ಲ ಅರೆಮಾನಕ,,,,,,,,,
,Adjustment,"ಹೊಂದಾಣಿಕೆ,ಸಮಾಯೋಜನೆ",,,,,,,,,
,Admittance,"ಪ್ರವೇಶ, ಸೇರಿಸುವುದು",,,,,,,,,
,"Admittance, natural",ನೈಸರ್ಗಿಕ ಪ್ರವೇಶ,,,,,,,,,
,Adsorbed layer,ಅಧಿಶೋಷಿತ ಸ್ತರ / ಪದರ,,,,,,,,,
,Adsorption complex,ಅಧಿಶೋಷಣ ಸಂಕೀರ್ಣ,,,,,,,,,
,Advance starter,ಮುಂಗಡ ಚಾಲಕ,,,,,,,,,
,Adzing,ವಿಷಮಗುಣ ಸ್ಥಾನಿಕ,,,,,,,,,
,Aeolotropic,ಅಸಮಭೌತಿಕ,,,,,,,,,
,Aeration,"ಗಾಳಿಯಾಡುವಿಕೆ, ವಾಯು ಸಂಚಾಲನೆ",,,,,,,,,
,Aerial,"ತರಂಗ, ಗ್ರಹಣತಂತಿ",,,,,,,,,
,Aerial survey,"ಆಕಾಶದಿಂದ ನಡೆಸುವ ವೀಕ್ಷಣೆ,ಸರ್ವೇಕ್ಷಣೆ, ವಾಯುಯಾನ ಸರ್ವೇಕ್ಷಣೆ, ಆಕಾಶ ಸಮೀಕ್ಷಣೆ",,,,,,,,,
,Aerodynamics,ವಾಯುಚಲಗತಿ ವಿಜ್ಞಾನ,,,,,,,,,
,Aerofoil,ಹಾರು ಯಂತ್ರದ ರೆಕ್ಕೆ,,,,,,,,,
,Aeromechanics,"ವಾಯುಯಂತ್ರ ಶಾಸ್ತ್ರ, ವೈಮಾನಿಕ ಯಂತ್ರಶಾಸ್ತ್ರ",,,,,,,,,
,Affluent,ಸಮೃದ್ಧ,,,,,,,,,
,Afflux,ತುಂಬಿ ಹರಿಯುವುದು,,,,,,,,,
,Afflux level,ಹರಿಯುವ ವಸ್ತುವಿನ ಮಟ್ಟ,,,,,,,,,
,Afforestation,ವನ ನಿರ್ಮಾಣ,,,,,,,,,
,Ageing test,"ಕಾಲ ನಿರ್ಧರಣೆ ತಪಾಸಣೆ, ಪರೀಕ್ಷೆ / ಪರಿಪಾಕತ ಪರೀಕ್ಷಣೆ",,,,,,,,,
,Aggradation,ಶ್ರೇಣೀಕರಣ,,,,,,,,,
,Aggregate weight,"ಸಮುಚ್ಛಯ ಭಾರ, ಒಟ್ಟಾರೆ ತೂಕ",,,,,,,,,
,Agricultural communities,ಕೃಷಿ ಸಮುದಾಯಗಳು,,,,,,,,,
,Agricultural electronics,ಕೃಷಿ ವಿದ್ಯುನ್ಮಾನವಿಜ್ಞಾನ,,,,,,,,,
,Agricultural engineering,"ಕೃಷಿ ಯಾಂತ್ರಿಕತೆ, ಕೃಷಿ ಇಂಜಿನಿಯರಿಂಗ್",,,,,,,,,
,Agricultural inputs,ಕೃಷಿ ಪರಿಕರಗಳು,,,,,,,,,
,Agricultural machines,ಕೃಷಿ ಯಂತ್ರಗಳು,,,,,,,,,
,Agricultural regions,ಕೃಷಿ ಪ್ರದೇಶಗಳು,,,,,,,,,
,Air channel,"ವಾಯುವಾಹಕ ಮಾರ್ಗ, ಗಾಳಿ ಸಾಗುಮಾರ್ಗ",,,,,,,,,
,Air circulator,ವಾಯು ಪರಿಚಾಲಕ,,,,,,,,,
,Air cleaners,"ಗಾಳಿ ಚೋಷಕಗಳು, ಗಾಳಿ ಶುದ್ಧಕಗಳು",,,,,,,,,
,Air compressor,ವಾಯು ಸಂಕೋಚಕ,,,,,,,,,
,Air compressor operator,ವಾಯು ಸಂಕೋಚಕ ನಿರ್ವಾಹಕ/ಚಾಲಕ,,,,,,,,,
,Air conditioning plant,ಹವಾನಿಯಂತ್ರಣ ಸ್ಥಾವರ,,,,,,,,,
,Air duct,ವಾಯುನಾಳ,,,,,,,,,
,Air fuel,"ಗಾಳಿ, ವಾಯು ಇಂಧನ",,,,,,,,,
