ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Abatement,"ತಗ್ಗಿಸುವುದು, ಕಡಿಮೆಯಾಗುವುದು, ಅಂತ್ಯಗೊಳಿಸುವುದು, ವಿನಾಯಿತಿ",,,,,,,,,YES
,Abbreviation,"ಸಂಕೇತಾಕ್ಷರ, ಸಂಕ್ಷಿಪ್ತರೂಪ, ಸಂಕ್ಷೇಪಿಸುವುದು",,,,,,,,,YES
,Abduction,ಅಪಹರಣ,,,,,,,,,YES
,Abeyance,"ತಡೆಹಿಡಿಯುವುದು, ತಹಕೂಪು, ನಿಲಂಬನೆ, ಅಮಾನತ್ತು",,,,,,,,,YES
,Ability,"ಅಳವು, ಸಾಮರ್ಥ್ಯ",,,,,,,,,YES
,Ab initio,"ಹೊಸತಾಗಿ, ಮೊದಲಿನಿಂದ",,,,,,,,,YES
,Able,"ಸಮರ್ಥ, ಶಕ್ತಿ",,,,,,,,,YES
,Abnormal,"ವಿಪರೀತ, ವಿಕೃತ, ಅಸಾಮಾನ್ಯ",,,,,,,,,YES
,Abolition,"ತೆಗೆದು ಹಾಕುವುದು, ನಿರ್ಮೂಲನ, ನಿವಾರಣೆ",,,,,,,,,YES
,Abolition of post,ಹುದ್ದೆಯ ರದ್ದತಿ,,,,,,,,,YES
,Above mentioned,"ಮೇಲೆ ಹೇಳಲಾದ, ಉಪರ್ಯುಕ್ತ",,,,,,,,,YES
,Above quoted,"ಮೇಲೆ ಉದ್ಧರಿಸಿದ, ಮೇಲೆ ಉಲ್ಲೇಖಿಸಿದ",,,,,,,,,YES
,Above said,"ಮೇಲೆ ಉದ್ಧರಿಸಿದ, ಮೇಲೆ ಹೇಳಿರುವ",,,,,,,,,YES
,Absence,"ಗೈರು ಹಾಜರಿ, ಅಭಾವ",,,,,,,,,YES
,Absentee,ಗೈರು ಹಾಜರಾದವ,,,,,,,,,YES
,Absenteeism,"ಗೈರು ಹಾಜರಿ, ಅಭಾವ",,,,,,,,,YES
,Absentee statement,ಗೈರು ಹಾಜರಿತಖ್ತೆ,,,,,,,,,YES
,Absolute,"ನಿಚ್ಚಳ, ಸಂಪೂರ್ಣ, ಪರಮ, ಅಪ್ಪಟ, ನಿರಂಕುಶ, ನಿರುಪಾಧಿಕ",,,,,,,,,YES
,Absolute monopoly,ಏಕೈಕ ಸ್ವಾಮ್ಯ,,,,,,,,,YES
