ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Accounting procedures,ಲೆಕ್ಕ ನಿರ್ವಹಣೆ ಪ್ರಕ್ರಿಯೆಗಳು,,,,,,,,,YES
,Accounting Policies,ಲೆಕ್ಕ ನಿರ್ವಹಣೆಯ ಕಾರ್ಯನೀತಿಗಳು,,,,,,,,,YES
,Accounting standards,ಲೆಕ್ಕ ನಿರ್ವಹಣೆಯ ಅಳತೆಗೋಲುಗಳು,,,,,,,,,YES
,Accident Relief Fund,ಅಪಘಾತ ಪರಿಹಾರ ನಿಧಿ,,,,,,,,,YES
,Adopted Accounts,ಅಳವಡಿಸಿಕೊಂಡ ಲೆಕ್ಕಪತ್ರಗಳು,,,,,,,,,YES
,Budget and Networth,ಮುಂಗಡ ಪತ್ರ ಮತ್ತು ನಿವ್ವಳ ಮೌಲ್ಯ,,,,,,,,,YES
,Cash in Transit,ವರ್ಗಾವಣೆಯಲ್ಲಿರುವ ನಗದು ಹಣ,,,,,,,,,YES
,Capital work in Progress,ನಿರ್ಮಾಣ ಹಂತದಲ್ಲಿರುವ ಸ್ಥಿರಾಸ್ತಿಗಳು,,,,,,,,,YES
,Capital Contribution,ಬಂಡವಾಳ ಕೊಡುಗೆ,,,,,,,,,YES
,Capital employed,ಬಂಡವಾಳ ತೊಡಗಿಸಿರುವುದು,,,,,,,,,YES
,Contingent fund,ಸಾದಿಲ್ವಾರು ನಿಧಿ,,,,,,,,,YES
,Control,ನಿಯಂತ್ರಣ,,,,,,,,,YES
,"Current Assets, Loans & Advances","ಚಾಲ್ತಿ ಆಸ್ತಿಗಳು, ಸಾಲ ಮತ್ತು ಮುಂಗಡಗಳು",,,,,,,,,YES
,Current liabilites & Provisions,"ಚಾಲ್ತಿ ದಾಯಿತ್ವಗಳು, ಋಣಭಾರಗಳು ಹಾಗೂ ಅವಕಾಶಗಳು",,,,,,,,,YES
,Deferred revenue,ಮುಂದೂಡಲಾದ ಕಾರ್ಯಾಚರಣೆ,,,,,,,,,YES
,Depriciation Fund,ಸವಕಳಿ ನಿಧಿ,,,,,,,,,YES
,Expenditure,ವೆಚ್ಚಗಳು,,,,,,,,,YES
,Fund flow statement,ನಿಧಿ ಬಳಕೆ ವಿವರಣಾ ಪಟ್ಟಿ,,,,,,,,,YES
,Generally accepted,ಸಾಮಾನ್ಯವಾಗಿ ಅಂಗೀಕೃತವಾದ,,,,,,,,,YES
,Investments,ಹೂಡಿಕೆಗಳು,,,,,,,,,YES
,Liabilities,ಹೊಣೆಗಾರಿಕೆಗಳು,,,,,,,,,YES
,Net Current Assets,ನಿವ್ವಳ ಚಾಲ್ತಿ ಆಸ್ತಿಗಳು,,,,,,,,,YES
,Not appropriation a/c,ನಿವ್ವಳ ಆದಿಯ ವಿನಿಯೋಗದ ಖಾತೆ,,,,,,,,,YES
,Property Insurance Fund,ಅಸ್ತಿ ವಿಮೆ ನಿಧಿ,,,,,,,,,YES
,Provision for bad and doubtful debts,ಸಂದೇಹಾಸ್ಪದ ಹಾಗೂ ವಸೂಲಾಗದ ಬಾಕಿಯ ಬಗ್ಗೆ ಏರ್ಪಾಡುಗಳು,,,,,,,,,YES
,Prior period adjustments,ಹಿಂದಿನ ಅವಧಿಯ ಹೊಂದಾಣಿಕೆಗಳು,,,,,,,,,YES
,Reserve & Funds,ಮೀಸಲು ಮತ್ತು ನಿಧಿಗಳು,,,,,,,,,YES
,Requirement statement,ಬೇಡಿಕೆ ಪಟ್ಟಿ,,,,,,,,,YES
,Review of Accounts,ಲೆಕ್ಕ ಪುನರಾವಲೋಕನ,,,,,,,,,YES
,Standard accounting practices,ಗುಣಮಟ್ಟ ಲೆಕ್ಕ ನಿರ್ವಹಣೆ ಪದ್ಧತಿಗಳು,,,,,,,,,YES
,Standard costing,ಗುಣಮಟ್ಟ ವೆಚ್ಚ ನಿರ್ವಹಣೆ,,,,,,,,,YES
,Source & Application of Working Capital,ಮೂಲಗಳು ಮತ್ತು ಕಾರ್ಯ ನಿರ್ವಹಣಾ ಬಂಡವಾಳದ ವಿನಿಯೋಗ,,,,,,,,,YES
,Trades Dues,ವ್ಯವಹಾರದ ಬಾಕಿಗಳು,,,,,,,,,YES
,Working results,ಕಾರ್ಯ ನಿರ್ವಹಣಾ ಫಲಿತಾಂಶಗಳು,,,,,,,,,YES
