ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,A.C. Pipe,"ಕಲ್ನಾರು ಪೈಪ್‌, ಎ.ಸಿ. ಪೈಪ್‌",,,,,,,,,
,A.G’s audit report,"ಮಹಾಲೆಕ್ಕಪರಿಶೋಧಕರ ಲೆಕ್ಕ ಪರಿಶೋಧನೆ ವರದಿ, ಎ.ಜಿ.ಯವರ ಆಡಿಟ್‌ ವರದಿ",,,,,,,,,
,A.G’s Inspection,"ಮಹಾಲೆಕ್ಕಪರಿಶೋಧಕರ ತಪಾಸಣೆ, ಎ.ಜಿ.ಯವರ ತಪಾಸಣೆ",,,,,,,,,
,Ab initio,"ಮೊದಲಿನಿಂದ, ಪ್ರಾರಂಭದಿಂದ",,,,,,,,,
,Abalien,"ಪರಭಾರೆ, ಹಸ್ತಾಂತರ",,,,,,,,,
,Abandon,"ಪರಿತ್ಯಜಿಸು, ಬಿಟ್ಟುಬಿಡು",,,,,,,,,
,Abate,"ವಿನಾಯಿತಿ ನೀಡು, ಕಡಿಮೆ ಮಾಡು, ತಗ್ಗಿಸು",,,,,,,,,
,Abbreviate,ಸಂಕ್ಷೇಪಿಸು,,,,,,,,,
,Abduct,ಅಪಹರಿಸು,,,,,,,,,
,Aberrance,"ದುರ್ನಡತೆ, ದುರ್ಮಾರ್ಗ",,,,,,,,,
,Abeyance,"ಅಮಾನತ್ತು, ನಿಲಂಬನೆ",,,,,,,,,
,Abide,ಪಾಲಿಸು,,,,,,,,,
,Ability,ಸಾಮರ್ಥ್ಯ,,,,,,,,,
,Abnormal consumption,ಅಸಾಮಾನ್ಯ ಬಳಕೆ,,,,,,,,,
,Abnormal rate,ಅಸಾಮಾನ್ಯ ದರ,,,,,,,,,
,Abolish,"ರದ್ದುಪಡಿಸು, ತೆಗೆದುಹಾಕು",,,,,,,,,
,Abortion,ಗರ್ಭಪಾತ,,,,,,,,,
,Above all,ಎಲ್ಲಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿ,,,,,,,,,
,Above cited,"ಮೇಲೆ ಉದ್ಧರಿಸಿದ, ಮೇಲ್ಕಂಡ, ಮೇಲೆ ತಿಳಿಸಿದ",,,,,,,,,
,Above mentioned,ಮೇಲೆ ಹೇಳಲಾದ,,,,,,,,,
,Abrasion,"ಉಜ್ಜು, ಉಜ್ಜುಗಾಯ, ಸವೆತ",,,,,,,,,
,Abridge,ಸಂಕ್ಷೇಪಿಸು,,,,,,,,,
,Abrogate,"ವಜಾಮಾಡು, ರದ್ದುಗೊಳಿಸು",,,,,,,,,
,Abrupt,"ಹಠಾತ್ತನೆ, ಇದ್ದಕ್ಕಿದ್ದಂತೆ",,,,,,,,,
,Abscond,ತಲೆಮರೆಸಿಕೊ,,,,,,,,,
,Absence,ಗೈರುಹಾಜರಿ,,,,,,,,,
,Absentee,"ಹಾಜರಿಲ್ಲದ (ವ್ಯಕ್ತಿ), ಗೈರುಹಾಜರಾದ (ವ್ಯಕ್ತಿ)",,,,,,,,,
,Absolute,"ಸಂಪೂರ್ಣ, ನಿಚ್ಚಳ",,,,,,,,,
,Absolute minimum,ಕನಿಷ್ಠ ನಿಚ್ಚಳ,,,,,,,,,
,Absorb,ವಿಲೀನಗೊಳಿಸು,,,,,,,,,
,Absorption,ವಿಲೀನತೆ,,,,,,,,,
,Abstain,ದೂರವಿರು,,,,,,,,,
,Abstract,"ಸಾರಾಂಶ, ಸಂಗ್ರಹ, ಸಂಕ್ಷಿಪ್ತ",,,,,,,,,
,Abundant,"ಹೇರಳ, ಸಮೃದ್ಧ",,,,,,,,,
,Abuse,"ನಿಂದನೆ, ಬೈಗುಳ, ನಿಂದಿಸು, ಬೈಯಿ",,,,,,,,,
,Abuse of power,"ಅಧಿಕಾರದ ದುರುಪಯೋಗ, ವಿದ್ಯುತ್ತಿನ ದುರುಪಯೋಗ",,,,,,,,,
,Academic,"ಶೈಕ್ಷಣಿಕ, ಬೌದ್ಧಿಕ",,,,,,,,,
,Academic council,"ವಿದ್ವತ್‌ ಸಭೆ, ಆಕಾಡೆಮಿಕ್‌ ಕೌನ್ಸಿಲ್ಲು",,,,,,,,,
,Academic qualification,ವಿದ್ಯಾರ್ಹತೆ,,,,,,,,,
,Academy,"ಅಕಾಡೆಮಿ, ವಿದ್ವನ್ಮಂಡಳಿ",,,,,,,,,
,Accelerate,"ತೀವ್ರಗೊಳಿಸು, ವೇಗವರ್ಧಿಸು",,,,,,,,,
,Accept,"ಅಂಗೀಕರಿಸು, ಸ್ವೀಕರಿಸು, ಒಪ್ಪಿಕೊ",,,,,,,,,
,Accepted delivery,ಅಂಗೀಕೃತ ಬಟವಾಡೆ,,,,,,,,,
,Access,ಪ್ರವೇಶಾವಕಾಶ,,,,,,,,,
,Accessory,"ಉಪಸಾಮಗ್ರಿ, ಪೂರಕ ಸಾಧನ",,,,,,,,,
,Accident grant,ಅಪಘಾತ ಧನಸಹಾಯ,,,,,,,,,
,Accident insurance policy,ಅಪಘಾತ ವಿಮಾ ಪಾಲಿಸಿ,,,,,,,,,
,Accommodate,"ಸ್ಥಳಾವಕಾಶ ಮಾಡಿಕೊಡು, ಅವಕಾಶ ಕಲ್ಪಿಸಿಕೊಡು",,,,,,,,,
,Accommodation,"ವಸತಿ, ಸ್ಥಳಾವಕಾಶ",,,,,,,,,
,Accompany,ಜೊತೆಗಿರು,,,,,,,,,
,Accomplice,"ಶಾಮೀಲುದಾರ, ಸಹಾಪರಾಧಿ",,,,,,,,,
,Accomplish,"ಪಾಲಿಸು, ಈಡೇರಿಸು, ಪೂರ್ತಿಮಾಡು",,,,,,,,,
,Accord,ಒಪ್ಪಿಗೆ ಕೊಡು; ಒಪ್ಪಿಗೆ,,,,,,,,,
,Accordingly,ಅನುಗುಣವಾಗಿ,,,,,,,,,
,Account group,ಲೆಕ್ಕ ವರ್ಗ,,,,,,,,,
,Account head,ಲೆಕ್ಕ ಶೀರ್ಷಿಕೆ,,,,,,,,,
,Account payee,ಖಾತೆದಾರನ ಲೆಕ್ಕಕ್ಕೆ,,,,,,,,,
,Accountability,"ಹೊಣೆಗಾರಿಕೆ, ಜವಾಬ್ದಾರಿ",,,,,,,,,
,Accounting policy,ಲೆಕ್ಕನಿರ್ವಹಣೆ ಕಾರ್ಯನೀತಿ,,,,,,,,,
,Accounting procedure,"ಲೆಕ್ಕನಿರ್ವಹಣೆ ಕಾರ್ಯ ವಿಧಾನ, ಲೇಖಾ ವಿಧಾನ",,,,,,,,,
,Accounts code,"ಲೆಕ್ಕ ಸಂಹಿತೆ, ಲೆಕ್ಕ ಸಂಕೇತ, ಅಕೌಂಟ್‌ ಕೊಡು",,,,,,,,,
,Accounts manual,ಲೆಕ್ಕ ಕೈಪಿಡಿ,,,,,,,,,
,Accounts section,"ಲೆಕ್ಕ ಶಾಖೆ, ಲೆಕ್ಕ ವಿಭಾಗ",,,,,,,,,
,Accredited,"ಅರ್ಹತೆ ಪಡೆದ, ಅಂಗೀಕೃತ",,,,,,,,,
,Accrue,"ಕೂಡಿಬರು, ಪ್ರಾಪ್ತವಾಗು",,,,,,,,,
,Accumulate,"ಕೂಡಿಹಾಕು, ಶೇಖರಿಸು",,,,,,,,,
